crate	lint	api	reason
bevy_boxddd	derive_trait_impl_removed	type BoxdddErrorMessage no longer derives Copy	error_message_policy
bevy_boxddd	enum_variant_missing	variant BoxdddErrorPolicy::Panic	error_message_policy
bevy_boxddd	function_missing	function bevy_boxddd::math::try_to_boxddd_quat	math_conversion_functions
bevy_boxddd	function_missing	function bevy_boxddd::try_to_boxddd_quat	math_conversion_functions
bevy_boxddd	function_parameter_count_changed	bevy_boxddd::systems::publish_physics_messages now takes 3 parameters instead of 9	advanced_step_publication
bevy_boxddd	function_parameter_count_changed	bevy_boxddd::systems::step_world now takes 3 parameters instead of 4	advanced_step_publication
bevy_boxddd	struct_missing	struct bevy_boxddd::BoxdddDebugDrawCommands	debug_draw_assets
bevy_boxddd	struct_missing	struct bevy_boxddd::debug_draw::BoxdddDebugDrawCommands	debug_draw_assets
bevy_boxddd	struct_missing	struct bevy_boxddd::prelude::BoxdddDebugDrawCommands	debug_draw_assets
bevy_boxddd	trait_missing	trait bevy_boxddd::BevyQuatBoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::BevyTransformBoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::BevyVec3BoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::BoxdddQuatBevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::BoxdddTransformBevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::BoxdddVec3BevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::math::BevyQuatBoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::math::BevyTransformBoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::math::BevyVec3BoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::math::BoxdddQuatBevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::math::BoxdddTransformBevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::math::BoxdddVec3BevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::prelude::BevyQuatBoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::prelude::BevyTransformBoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::prelude::BevyVec3BoxdddExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::prelude::BoxdddQuatBevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::prelude::BoxdddTransformBevyExt	math_conversion_functions
bevy_boxddd	trait_missing	trait bevy_boxddd::prelude::BoxdddVec3BevyExt	math_conversion_functions
boxddd	auto_trait_impl_removed	type BodyMove is no longer RefUnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type BodyMove is no longer UnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type BodyMoveIter is no longer RefUnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type BodyMoveIter is no longer UnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginIter is no longer RefUnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginIter is no longer Send	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginIter is no longer Sync	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginIter is no longer UnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginTouch is no longer RefUnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginTouch is no longer Send	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginTouch is no longer Sync	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactBeginTouch is no longer UnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type ContactEndIter is no longer RefUnwindSafe	scoped_event_views
